2025-08-08T16:59:58;35.77
2025-08-08T17:00:03;798.10
2025-08-08T17:00:08;33.75
2025-08-08T17:00:13;36.70
2025-08-08T17:00:18;798.01
2025-08-08T17:00:23;36.24
2025-08-08T17:00:28;52.00
2025-08-08T17:00:33;797.84
2025-08-08T17:00:38;30.11
2025-08-08T17:00:43;103.63
2025-08-08T17:00:48;106.03
2025-08-08T17:00:53;33.49
2025-08-08T17:00:58;34.78
2025-08-08T17:01:03;35.29
2025-08-08T17:01:08;33.49
2025-08-08T17:31:04;44.85
2025-08-08T17:31:09;18.75
2025-08-08T17:31:14;34.26
2025-08-08T17:31:19;49.44
2025-08-08T17:31:24;35.02
2025-08-08T17:31:29;32.95
2025-08-08T17:31:34;12.48
2025-08-08T17:31:39;16.51
2025-08-08T17:31:44;16.18
2025-08-08T17:31:49;16.18
2025-08-08T17:31:54;16.18
2025-08-08T17:31:59;16.18
2025-08-08T17:32:04;16.51
2025-08-08T17:32:09;16.51
2025-08-08T17:32:14;56.30
2025-08-08T17:32:19;25.62
2025-08-08T17:32:24;34.77
2025-08-08T17:32:29;35.55
2025-08-08T17:32:34;36.23
2025-08-08T17:32:39;35.77
2025-08-08T17:32:44;36.35
2025-08-08T17:32:49;37.60
2025-08-08T17:32:54;35.04
2025-08-08T17:32:59;35.55
2025-08-08T17:33:04;36.23
2025-08-08T17:33:09;24.46
2025-08-08T17:33:14;36.01
2025-08-08T17:33:19;37.15
2025-08-08T17:33:24;35.99
